MonitorId,Parameter,StreamSegmentId,Description,DetectionLimitUOMcode,DurationMinutes,SamplingFreqSeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
65,88101,7,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
65,85101,8,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
63,88101,15,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
63,85101,16,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
39,88101,23,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
39,85101,24,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
70,88101,31,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
70,85101,32,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
72,88101,39,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
72,85101,40,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
35,88101,47,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
35,85101,48,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
48,88101,55,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
48,85101,56,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
32,88101,63,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
32,85101,64,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
49,88101,71,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
49,85101,72,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
26,88101,79,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
26,85101,80,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
52,88101,87,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
52,85101,88,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
8,88101,95,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
8,85101,96,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
41,88101,103,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
41,85101,104,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
27,88101,111,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
27,85101,112,Standard Settings for Dylos PM2.5,105,5,4,500,1,0,1,0,0,24,1,0.001,0,5,1,10,1,4,1,4,1,6,3,7,12,24,,,,,,,,,,,1,,,,
